date,ZEE,SAP
2011-01-15,1.847667433,1.7382
2011-01-17,1.838795899,1.8157
2011-01-18,1.861896007,1.9131
2011-01-19,1.884927873,1.9142
2011-01-20,1.896153775,1.9442
2011-01-21,1.907379677,1.9141
2011-01-24,1.899054084,1.8857
2011-01-25,1.878786042,1.8662
2011-01-26,1.867423655,1.9206
2011-01-27,1.888749456,2.0731
2011-01-28,1.930718634,1.9545
2011-01-31,1.867730747,1.8232
2011-02-01,1.795734841,1.8114
2011-02-02,1.779288383,1.8809
2011-02-03,1.825932176,1.8584
2011-02-04,1.865410499,1.8743
2011-02-07,1.870119236,1.8898
2011-02-08,1.85503763,1.8447
2011-02-09,1.828218302,1.8296
2011-02-10,1.818698464,1.7889
2011-02-11,1.796417267,1.826
2011-02-14,1.823953141,1.7851
2011-02-15,1.794404111,1.8776
2011-02-16,1.821359924,1.7756
2011-02-17,1.77601274,1.7915
2011-02-18,1.788364644,1.786
2011-02-21,1.793448715,1.8377
2011-02-22,1.834496618,1.8778
2011-02-23,1.881218889,1.8465
2011-02-24,1.876670523,1.8365
2011-02-25,1.877557676,1.8521
2011-02-28,1.869539175,1.9193
2011-03-01,1.903285123,1.9065
2011-03-02,1.909085741,1.9407
2011-03-03,1.920652855,1.9511
2011-03-04,1.955879667,1.9968
2011-03-07,1.958698085,2.0518
2011-03-08,2.044342503,2.0083
2011-03-09,2.010391828,2.0078
2011-03-10,2.001349688,1.9891
2011-03-11,1.986984628,2.0508
2011-03-14,2.013087409,2.1691
2011-03-15,2.141281066,2.2395
2011-03-16,2.163869355,2.269
2011-03-17,2.234943986,2.2042
2011-03-18,2.206828049,2.1849
2011-03-21,2.169158154,2.0864
2011-03-22,2.094159575,2.1214
2011-03-23,2.094091333,2.1175
2011-03-24,2.137698332,2.1207
2011-03-25,2.115519498,2.0865
2011-03-28,2.113335736,2.0803
2011-03-29,2.083581978,2.086
2011-03-30,2.092726482,1.9722
2011-03-31,1.995378463,2.0087
2011-04-01,2.092726482,1.9825
2011-04-04,2.133364929,2.0103
2011-04-05,2.057922774,1.9738
2011-04-06,2.017727903,1.8786
2011-04-07,1.975349271,1.8854
2011-04-08,1.975246907,1.9475
2011-04-11,2.008139823,2.0202
2011-04-12,2.06607776,2.0591
2011-04-13,2.091259266,2.1354
2011-04-14,2.075870568,2.0639
2011-04-15,2.064610545,1.9913
2011-04-18,2.016465416,1.8757
2011-04-19,1.961734879,2.0285
2011-04-20,1.94791576,1.9172
2011-04-21,1.952283284,1.7726
2011-04-28,1.881993443,1.9945
2011-05-05,1.864728074,1.8718
2011-05-06,1.892502797,1.8495
2011-05-09,1.844357668,1.906
2011-05-10,1.950167764,1.9784
2011-05-11,1.993365308,2.0173
2011-05-12,2.070752376,1.9885
2011-05-13,2.020389363,1.9975
2011-05-16,2.021720093,1.9804
2011-05-17,1.99715277,1.9643
2011-05-18,2.019024512,1.9784
2011-05-19,2.023801491,1.9966
2011-05-20,2.007116184,1.9927
2011-05-23,2.002680418,2.0062
2011-05-24,2.025780526,1.9771
2011-05-25,2.001042596,1.9584
2011-05-26,1.979785037,1.9604
2011-05-27,1.982480619,2.0199
2011-06-01,2.034276725,2.0126
2011-06-02,2.012746196,1.9948
2011-06-03,2.001895628,2.0289
2011-06-06,2.027998409,1.9965
2011-06-07,2.021208274,2.0085
2011-06-08,2.030284535,2.0324
2011-06-09,2.034515574,2.0295
2011-06-10,2.036631094,2.0213
2011-06-13,2.028237258,2.0577
2011-06-14,2.046082689,2.019
2011-06-15,2.069592252,2.0219
2011-06-16,2.025848768,2.0396
2011-06-17,2.011142496,1.9832
2011-06-20,2.002441569,1.9692
2011-06-21,1.984698502,1.9898
2011-06-22,2.005956061,1.9726
2011-06-23,2.002441569,1.9477
2011-06-24,1.987632932,1.9195
2011-06-27,1.948802913,1.9033
2011-06-28,1.91464751,1.953
2011-06-29,1.951737343,1.9745
2011-06-30,1.993058216,1.953
2011-07-01,1.983981955,1.9335
2011-07-04,1.940443199,1.931
2011-07-05,1.929797359,1.8866
2011-07-06,1.932185849,1.9342
2011-07-07,1.928432508,1.9491
2011-07-08,1.952385648,1.911
2011-07-11,1.955354199,1.8875
2011-07-12,1.891206189,1.8818
2011-07-13,1.895368985,1.8865
2011-07-14,1.903592214,1.9052
2011-07-18,1.904445246,1.8784
2011-07-19,1.913657992,1.9032
2011-07-20,1.9202434,1.8968
2011-07-21,1.920209279,1.9043
2011-07-22,1.921096432,1.8806
2011-07-25,1.904240519,1.8531
2011-07-26,1.893151102,1.8564
2011-07-27,1.891615644,1.8522
2011-07-28,1.879980287,1.8402
2011-07-29,1.87394082,1.7883
2011-08-01,1.843095181,1.7379
2011-08-02,1.813784999,1.7238
2011-08-03,1.785430214,1.7359
2011-08-04,1.750558263,1.7258
2011-08-05,1.769939152,1.7616
2011-08-08,1.749602868,1.799
2011-08-09,1.802013157,1.7889
2011-08-10,1.822963624,1.8497
2011-08-11,1.859507518,1.7929
2011-08-12,1.861861886,1.8174
2011-08-15,1.816617066,1.8111
2011-08-16,1.846848522,1.859
2011-08-17,1.85984873,1.9287
2011-08-18,1.934574338,1.9678
2011-08-19,1.940750291,1.8291
2011-08-22,1.895437228,1.9027
2011-08-23,1.939965501,1.9228
2011-08-24,1.946073211,1.9071
2011-08-25,1.974564481,1.9068
2011-08-26,1.995924404,1.9364
2011-08-31,2.112141491,2.074
2011-09-01,2.130566984,1.9469
2011-09-02,2.07406214,1.9406
2011-09-05,2.087676532,1.9487
2011-09-06,2.043011773,1.9687
2011-09-07,2.190279227,2.0123
2011-09-08,2.249650259,2.0647
2011-09-09,2.262821074,2.0176
2011-09-12,2.236308837,1.8154
2011-09-13,2.178575628,1.8934
2011-09-14,2.194851479,1.9857
2011-09-15,2.173252708,1.8699
2011-09-16,2.174242225,1.5372
2011-09-19,2.121183631,1.6426
2011-09-20,2.177893202,1.8647
2011-09-21,2.108183422,1.9648
2011-09-22,2.044990808,1.8978
2011-09-23,1.948802913,1.8085
2011-09-26,1.8686179,1.4102
2011-09-27,1.689685896,1.5742
2011-09-28,1.773794857,1.6382
2011-09-29,1.863977406,1.6629
2011-09-30,1.862783161,1.5162
2011-10-03,1.571012076,1.3707
2011-10-04,1.525118952,1.5303
2011-10-05,1.644065742,1.2552
2011-10-06,1.647614355,1.6459
2011-10-07,1.758201431,1.7708
2011-10-10,1.876124582,1.7266
2011-10-11,1.881583987,1.8554
2011-10-12,1.996948042,1.9052
2011-10-13,2.004625331,1.8425
2011-10-14,1.987325841,1.8803
2011-10-17,1.99926829,2.0757
2011-10-18,2.105521962,2.0405
2011-10-19,2.110708397,2.0549
2011-10-20,2.084946829,2.067
2011-10-21,2.109104697,2.05
2011-10-24,2.086072832,2.0964
2011-10-25,2.175231742,2.1039
2011-10-26,2.13551457,2.03
2011-10-27,2.093170058,2.0971
2011-10-28,2.103611171,1.9679
2011-10-31,2.081875914,2.0176
2011-11-01,2.016226567,1.9902
2011-11-02,1.999575381,1.8276
2011-11-03,1.863192616,1.923
2011-11-04,1.939726652,1.8976
2011-11-07,2.00192975,2.0557
2011-11-08,2.031137567,1.9623
2011-11-09,2.03547097,1.9392
2011-11-10,1.99609501,1.9791
2011-11-11,2.013155651,1.8007
2011-11-14,1.998824713,2.028
2011-11-15,2.028510228,2.017
2011-11-16,2.082524218,2.0523
2011-11-17,2.067647339,2.0346
2011-11-18,2.088904898,1.9781
2011-11-21,2.018580935,2.0632
2011-11-22,2.066453094,2.0727
2011-11-23,2.098458857,2.0652
2011-11-24,2.081398216,2.0293
2011-11-25,2.0384054,2.0367
2011-11-28,2.027008892,2.0118
2011-11-29,2.033628421,1.9923
2011-11-30,2.011449587,1.9755
2011-12-01,1.985892747,1.9287
2011-12-02,1.924440318,1.9004
2011-12-05,1.904649974,1.9749
2011-12-06,1.968797985,1.9542
2011-12-07,1.941500959,1.9607
2011-12-08,1.952146799,2.0052
2011-12-09,1.985858626,2.035
2011-12-12,2.018273844,1.9931
2011-12-13,1.99609501,1.9961
2011-12-14,1.997801074,1.9962
2011-12-15,1.960506513,1.9702
2011-12-16,1.942149263,1.9452
2011-12-19,1.943207023,1.962
2011-12-20,1.914783995,2.0047
2011-12-21,1.936382766,1.8371
2011-12-22,1.870699298,1.8364
2011-12-23,1.835008437,1.8384
2011-12-29,1.833336494,1.7555
2011-12-30,1.7371486,1.7973
